0,1,2,3,4,5,6,7,8,9,10
berries,whole milk,,,,,,,,,
whipped/sour cream,waffles,,,,,,,,,
newspapers,brown bread,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
candy,bottled water,,,,,,,,,
ice cream,whipped/sour cream,,,,,,,,,
chicken,rolls/buns,yogurt,pastry,,,,,,,
other vegetables,whole milk,pudding powder,cream cheese ,,,,,,,
meat,rolls/buns,root vegetables,,,,,,,,
whole milk,coffee,fruit/vegetable juice,,,,,,,,
frankfurter,rolls/buns,bottled beer,other vegetables,yogurt,soups,yogurt,UHT-milk,,,
chicken,onions,,,,,,,,,
ham,whole milk,,,,,,,,,
soda,pastry,,,,,,,,,
specialty chocolate,margarine,,,,,,,,,
UHT-milk,condensed milk,pastry,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
flower soil/fertilizer,rolls/buns,yogurt,ice cream,whipped/sour cream,,,,,,
UHT-milk,other vegetables,,,,,,,,,
soda,flower (seeds),,,,,,,,,
other vegetables,canned fish,white bread,waffles,,,,,,,
butter,margarine,,,,,,,,,
fruit/vegetable juice,spices,,,,,,,,,
yogurt,herbs,,,,,,,,,
hamburger meat,pip fruit,rolls/buns,dishes,,,,,,,
butter milk,sliced cheese,rolls/buns,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
berries,other vegetables,,,,,,,,,
beef,canned beer,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
beef,pasta,,,,,,,,,
root vegetables,newspapers,butter,,,,,,,,
seasonal products,onions,,,,,,,,,
root vegetables,baking powder,,,,,,,,,
sausage,frozen meals,,,,,,,,,
finished products,whole milk,baking powder,,,,,,,,
onions,onions,,,,,,,,,
pip fruit,curd,coffee,rolls/buns,,,,,,,
pork,whole milk,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
whole milk,chocolate,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
root vegetables,skin care,,,,,,,,,
canned beer,frankfurter,chicken,whole milk,softener,vinegar,,,,,
hamburger meat,root vegetables,,,,,,,,,
cream cheese ,fruit/vegetable juice,,,,,,,,,
other vegetables,rolls/buns,beverages,,,,,,,,
bottled water,cream cheese ,bottled beer,,,,,,,,
soda,salty snack,butter milk,baking powder,,,,,,,
frozen meals,white bread,cereals,ready soups,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
coffee,whole milk,,,,,,,,,
pork,whole milk,,,,,,,,,
tropical fruit,other vegetables,sugar,,,,,,,,
hamburger meat,white bread,,,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
whole milk,ice cream,,,,,,,,,
dish cleaner,curd,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
chocolate,root vegetables,,,,,,,,,
frankfurter,Instant food products,,,,,,,,,
meat,frozen meals,whole milk,domestic eggs,,,,,,,
beef,rolls/buns,,,,,,,,,
other vegetables,curd,,,,,,,,,
packaged fruit/vegetables,canned beer,,,,,,,,,
tropical fruit,berries,,,,,,,,,
sausage,butter,whole milk,,,,,,,,
chocolate,whipped/sour cream,baking powder,frozen vegetables,,,,,,,
whole milk,rolls/buns,,,,,,,,,
napkins,other vegetables,,,,,,,,,
pip fruit,newspapers,,,,,,,,,
bottled beer,yogurt,other vegetables,,,,,,,,
chicken,sugar,,,,,,,,,
hamburger meat,coffee,,,,,,,,,
frankfurter,curd,beef,whipped/sour cream,,,,,,,
white bread,flour,,,,,,,,,
whole milk,whole milk,,,,,,,,,
curd,margarine,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
turkey,root vegetables,,,,,,,,,
frankfurter,whipped/sour cream,other vegetables,,,,,,,,
brown bread,grapes,bottled water,soda,,,,,,,
brown bread,misc. beverages,,,,,,,,,
canned beer,baking powder,,,,,,,,,
root vegetables,frozen potato products,dental care,,,,,,,,
other vegetables,abrasive cleaner,,,,,,,,,
sausage,cat food,pastry,,,,,,,,
bottled water,rolls/buns,domestic eggs,,,,,,,,
margarine,bottled water,,,,,,,,,
other vegetables,soda,,,,,,,,,
liquor,vinegar,shopping bags,long life bakery product,,,,,,,
root vegetables,whole milk,,,,,,,,,
curd,rolls/buns,,,,,,,,,
sausage,root vegetables,,,,,,,,,
citrus fruit,dessert,,,,,,,,,
root vegetables,grapes,brandy,pickled vegetables,pastry,,,,,,
butter,citrus fruit,margarine,soda,whole milk,roll products ,,,,,
frankfurter,tropical fruit,,,,,,,,,
whole milk,domestic eggs,canned vegetables,flower (seeds),,,,,,,
sausage,baking powder,,,,,,,,,
packaged fruit/vegetables,rolls/buns,,,,,,,,,
soda,fruit/vegetable juice,bottled beer,,,,,,,,
domestic eggs,soda,,,,,,,,,
dessert,domestic eggs,candles,whole milk,,,,,,,
rolls/buns,yogurt,,,,,,,,,
pork,frozen vegetables,,,,,,,,,
napkins,popcorn,,,,,,,,,
pip fruit,pastry,Instant food products,,,,,,,,
UHT-milk,salty snack,,,,,,,,,
chicken,domestic eggs,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
soda,frozen vegetables,cream cheese ,,,,,,,,
pork,semi-finished bread,,,,,,,,,
citrus fruit,pip fruit,beverages,,,,,,,,
citrus fruit,hard cheese,pastry,salty snack,,,,,,,
brown bread,dessert,,,,,,,,,
meat,whole milk,,,,,,,,,
pork,soda,,,,,,,,,
soda,butter,,,,,,,,,
beef,soap,,,,,,,,,
tropical fruit,tropical fruit,mayonnaise,,,,,,,,
dessert,shopping bags,,,,,,,,,
other vegetables,canned fish,,,,,,,,,
pork,fruit/vegetable juice,,,,,,,,,
soda,canned beer,soft cheese,waffles,,,,,,,
soda,pork,bottled water,,,,,,,,
frozen meals,whole milk,,,,,,,,,
grapes,other vegetables,,,,,,,,,
canned beer,canned beer,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
misc. beverages,waffles,bottled beer,,,,,,,,
chocolate,herbs,chocolate,,,,,,,,
citrus fruit,sausage,bottled beer,herbs,,,,,,,
root vegetables,dog food,,,,,,,,,
root vegetables,canned beer,whole milk,oil,,,,,,,
sausage,sugar,,,,,,,,,
tropical fruit,frozen fish,,,,,,,,,
sausage,onions,,,,,,,,,
sausage,canned fish,,,,,,,,,
zwieback,bottled water,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
bottled water,bottled water,,,,,,,,,
tropical fruit,grapes,sausage,grapes,fruit/vegetable juice,curd,other vegetables,whipped/sour cream,,,
soda,bottled beer,chicken,yogurt,,,,,,,
other vegetables,cream cheese ,liquor,root vegetables,newspapers,hard cheese,,,,,
specialty chocolate,rolls/buns,,,,,,,,,
other vegetables,beverages,ice cream,shopping bags,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
shopping bags,sparkling wine,,,,,,,,,
specialty bar,brown bread,,,,,,,,,
misc. beverages,cream cheese ,,,,,,,,,
sausage,soda,cooking chocolate,roll products ,,,,,,,
female sanitary products,rolls/buns,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
rolls/buns,specialty bar,spread cheese,,,,,,,,
pip fruit,fruit/vegetable juice,whipped/sour cream,soda,,,,,,,
root vegetables,brown bread,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
newspapers,sliced cheese,,,,,,,,,
sausage,tropical fruit,yogurt,,,,,,,,
sausage,root vegetables,,,,,,,,,
meat,other vegetables,margarine,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
soda,curd,sliced cheese,,,,,,,,
whole milk,whole milk,,,,,,,,,
yogurt,newspapers,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
frankfurter,salty snack,house keeping products,,,,,,,,
domestic eggs,beef,coffee,bottled beer,,,,,,,
specialty chocolate,pastry,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
sausage,pip fruit,,,,,,,,,
whole milk,butter,,,,,,,,,
oil,coffee,,,,,,,,,
yogurt,potato products,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
citrus fruit,dessert,newspapers,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
soda,whole milk,,,,,,,,,
other vegetables,cream cheese ,yogurt,yogurt,whole milk,waffles,curd,fruit/vegetable juice,,,
citrus fruit,soda,,,,,,,,,
canned beer,liquor,,,,,,,,,
ham,other vegetables,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
frozen meals,soda,,,,,,,,,
candles,whole milk,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
pastry,napkins,,,,,,,,,
tropical fruit,flour,,,,,,,,,
yogurt,chicken,bottled water,whole milk,flour,detergent,,,,,
pastry,napkins,,,,,,,,,
sausage,beverages,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
dessert,napkins,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
bottled water,salty snack,,,,,,,,,
bottled water,hygiene articles,,,,,,,,,
tropical fruit,semi-finished bread,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
bottled beer,red/blush wine,,,,,,,,,
finished products,other vegetables,,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
pork,mayonnaise,,,,,,,,,
pastry,rolls/buns,sliced cheese,tropical fruit,liquor,hygiene articles,dental care,napkins,,,
margarine,brown bread,,,,,,,,,
bottled water,pastry,specialty bar,herbs,,,,,,,
specialty bar,soda,,,,,,,,,
fish,pot plants,coffee,,,,,,,,
citrus fruit,curd,,,,,,,,,
flower (seeds),domestic eggs,,,,,,,,,
tropical fruit,oil,,,,,,,,,
tropical fruit,sugar,,,,,,,,,
root vegetables,detergent,,,,,,,,,
whole milk,soda,,,,,,,,,
soda,bottled beer,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
chicken,flower soil/fertilizer,,,,,,,,,
sausage,domestic eggs,frozen meals,,,,,,,,
spread cheese,brown bread,,,,,,,,,
sausage,detergent,salty snack,,,,,,,,
whole milk,cookware,brown bread,bottled beer,,,,,,,
yogurt,yogurt,,,,,,,,,
root vegetables,butter,dessert,,,,,,,,
other vegetables,canned beer,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
whole milk,specialty cheese,,,,,,,,,
frankfurter,berries,,,,,,,,,
onions,domestic eggs,shopping bags,,,,,,,,
nuts/prunes,root vegetables,white wine,pastry,,,,,,,
whole milk,UHT-milk,,,,,,,,,
pastry,bottled water,candles,,,,,,,,
soft cheese,spices,,,,,,,,,
ice cream,yogurt,,,,,,,,,
yogurt,whole milk,soft cheese,,,,,,,,
sparkling wine,waffles,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
frankfurter,margarine,,,,,,,,,
cream cheese ,fruit/vegetable juice,,,,,,,,,
beef,pip fruit,rolls/buns,,,,,,,,
hamburger meat,hygiene articles,soda,tropical fruit,,,,,,,
spread cheese,shopping bags,,,,,,,,,
tropical fruit,margarine,,,,,,,,,
chicken,condensed milk,,,,,,,,,
bottled water,UHT-milk,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
newspapers,salty snack,,,,,,,,,
soda,whole milk,,,,,,,,,
tropical fruit,soda,,,,,,,,,
mustard,brown bread,,,,,,,,,
frankfurter,pastry,hygiene articles,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
ham,canned beer,,,,,,,,,
waffles,specialty bar,,,,,,,,,
fruit/vegetable juice,onions,,,,,,,,,
root vegetables,citrus fruit,other vegetables,pork,herbs,,,,,,
chicken,rolls/buns,liquor (appetizer),pip fruit,hygiene articles,,,,,,
root vegetables,soda,,,,,,,,,
pot plants,misc. beverages,baking powder,,,,,,,,
whipped/sour cream,chicken,,,,,,,,,
ice cream,onions,,,,,,,,,
other vegetables,canned beer,,,,,,,,,
chicken,whole milk,whole milk,coffee,,,,,,,
brandy,whole milk,whole milk,bottled water,,,,,,,
hamburger meat,spices,chocolate,,,,,,,,
ham,tidbits,,,,,,,,,
ham,hard cheese,,,,,,,,,
yogurt,soft cheese,,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
whole milk,other vegetables,red/blush wine,coffee,other vegetables,bottled water,bottled water,sugar,,,
whipped/sour cream,yogurt,,,,,,,,,
waffles,curd,,,,,,,,,
other vegetables,other vegetables,frozen dessert,waffles,soda,,,,,,
whole milk,whole milk,herbs,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
citrus fruit,citrus fruit,soda,,,,,,,,
tropical fruit,yogurt,bottled water,,,,,,,,
frankfurter,citrus fruit,,,,,,,,,
whole milk,newspapers,,,,,,,,,
onions,root vegetables,,,,,,,,,
chocolate,brown bread,,,,,,,,,
chicken,onions,,,,,,,,,
root vegetables,pastry,,,,,,,,,
tropical fruit,rolls/buns,canned beer,dish cleaner,,,,,,,
specialty fat,pet care,,,,,,,,,
yogurt,soda,,,,,,,,,
citrus fruit,sliced cheese,,,,,,,,,
citrus fruit,chewing gum,frozen vegetables,margarine,,,,,,,
other vegetables,sparkling wine,frozen meals,rolls/buns,,,,,,,
root vegetables,fruit/vegetable juice,,,,,,,,,
sausage,detergent,,,,,,,,,
fruit/vegetable juice,candy,,,,,,,,,
curd,soft cheese,,,,,,,,,
rolls/buns,dessert,,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
soda,chocolate,,,,,,,,,
baking powder,whole milk,rolls/buns,,,,,,,,
chicken,beef,white bread,semi-finished bread,,,,,,,
pip fruit,long life bakery product,,,,,,,,,
herbs,tropical fruit,whole milk,,,,,,,,
sugar,seasonal products,,,,,,,,,
soda,shopping bags,other vegetables,rolls/buns,,,,,,,
yogurt,softener,,,,,,,,,
frozen meals,whole milk,,,,,,,,,
tropical fruit,mayonnaise,liquor,,,,,,,,
margarine,berries,,,,,,,,,
citrus fruit,curd,specialty chocolate,canned beer,,,,,,,
canned beer,white bread,male cosmetics,chocolate,,,,,,,
sausage,shopping bags,,,,,,,,,
other vegetables,canned beer,shopping bags,,,,,,,,
whole milk,salty snack,shopping bags,,,,,,,,
chicken,UHT-milk,,,,,,,,,
napkins,photo/film,,,,,,,,,
fruit/vegetable juice,soft cheese,,,,,,,,,
tropical fruit,sausage,ham,root vegetables,turkey,pastry,pasta,soda,,,
canned beer,tropical fruit,bottled beer,,,,,,,,
tropical fruit,packaged fruit/vegetables,cereals,,,,,,,,
rolls/buns,citrus fruit,fruit/vegetable juice,,,,,,,,
shopping bags,whole milk,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
citrus fruit,other vegetables,brown bread,,,,,,,,
root vegetables,soups,decalcifier,,,,,,,,
fish,fruit/vegetable juice,,,,,,,,,
pastry,whole milk,other vegetables,rolls/buns,,,,,,,
rolls/buns,popcorn,fruit/vegetable juice,,,,,,,,
pork,meat,,,,,,,,,
white bread,shopping bags,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
tropical fruit,berries,beef,butter milk,yogurt,sliced cheese,,,,,
specialty bar,rolls/buns,processed cheese,,,,,,,,
beef,herbs,,,,,,,,,
other vegetables,rolls/buns,brown bread,,,,,,,,
condensed milk,pastry,,,,,,,,,
pork,white wine,margarine,,,,,,,,
beef,cream cheese ,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
other vegetables,rolls/buns,soda,cat food,,,,,,,
root vegetables,white bread,canned fish,,,,,,,,
dessert,sliced cheese,bottled beer,other vegetables,,,,,,,
tropical fruit,canned fish,,,,,,,,,
curd,cake bar,ketchup,,,,,,,,
sausage,whipped/sour cream,soda,,,,,,,,
root vegetables,sugar,,,,,,,,,
chicken,citrus fruit,turkey,whole milk,sweet spreads,cream cheese ,specialty chocolate,oil,,,
pastry,waffles,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
zwieback,white bread,,,,,,,,,
beef,soda,white wine,soft cheese,,,,,,,
tropical fruit,pork,newspapers,,,,,,,,
salty snack,sugar,,,,,,,,,
liver loaf,specialty chocolate,,,,,,,,,
other vegetables,pot plants,vinegar,,,,,,,,
whole milk,pip fruit,detergent,,,,,,,,
salty snack,canned beer,,,,,,,,,
turkey,semi-finished bread,,,,,,,,,
berries,curd,,,,,,,,,
other vegetables,butter,red/blush wine,,,,,,,,
root vegetables,canned beer,specialty cheese,rolls/buns,,,,,,,
frankfurter,butter,mustard,,,,,,,,
sausage,rum,,,,,,,,,
coffee,white wine,,,,,,,,,
butter,rolls/buns,,,,,,,,,
cream cheese ,whole milk,,,,,,,,,
pastry,grapes,,,,,,,,,
whole milk,yogurt,sliced cheese,,,,,,,,
brown bread,waffles,,,,,,,,,
butter,soda,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
sausage,root vegetables,salty snack,coffee,,,,,,,
rolls/buns,candy,white bread,,,,,,,,
soda,butter milk,whipped/sour cream,,,,,,,,
brown bread,other vegetables,,,,,,,,,
whole milk,bottled water,,,,,,,,,
white bread,dog food,potato products,,,,,,,,
whole milk,flour,,,,,,,,,
whole milk,bottled water,,,,,,,,,
sparkling wine,chocolate,,,,,,,,,
frankfurter,sliced cheese,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
meat,whole milk,whipped/sour cream,,,,,,,,
pip fruit,bottled water,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
root vegetables,frozen vegetables,pet care,,,,,,,,
turkey,newspapers,white wine,,,,,,,,
bottled beer,fruit/vegetable juice,rolls/buns,,,,,,,,
coffee,hard cheese,domestic eggs,,,,,,,,
sausage,sausage,bottled beer,spread cheese,,,,,,,
hamburger meat,other vegetables,domestic eggs,,,,,,,,
oil,brown bread,bottled beer,,,,,,,,
butter milk,red/blush wine,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
ham,berries,,,,,,,,,
coffee,whole milk,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
ham,domestic eggs,,,,,,,,,
beverages,whole milk,onions,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
whole milk,other vegetables,pip fruit,sparkling wine,,,,,,,
whole milk,sausage,spread cheese,hygiene articles,,,,,,,
vinegar,dog food,,,,,,,,,
bottled beer,pasta,,,,,,,,,
beef,baking powder,,,,,,,,,
whole milk,bottled water,soda,,,,,,,,
brown bread,canned beer,,,,,,,,,
yogurt,yogurt,,,,,,,,,
candy,dessert,rolls/buns,canned fish,,,,,,,
photo/film,bottled water,,,,,,,,,
shopping bags,whole milk,domestic eggs,,,,,,,,
newspapers,syrup,,,,,,,,,
turkey,grapes,soda,,,,,,,,
ham,specialty bar,,,,,,,,,
misc. beverages,chocolate,,,,,,,,,
ham,bottled beer,,,,,,,,,
butter,bottled water,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
cream cheese ,yogurt,sugar,,,,,,,,
bottled water,bottled water,,,,,,,,,
pork,brown bread,,,,,,,,,
bottled water,pastry,fruit/vegetable juice,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
other vegetables,butter,,,,,,,,,
brown bread,frozen meals,cat food,white bread,,,,,,,
root vegetables,other vegetables,dessert,,,,,,,,
citrus fruit,specialty bar,Instant food products,jam,,,,,,,
curd,waffles,,,,,,,,,
sausage,curd cheese,,,,,,,,,
finished products,pip fruit,root vegetables,canned fruit,,,,,,,
curd,syrup,,,,,,,,,
sliced cheese,whole milk,,,,,,,,,
oil,UHT-milk,,,,,,,,,
brown bread,bottled beer,,,,,,,,,
margarine,whole milk,,,,,,,,,
rolls/buns,misc. beverages,soda,,,,,,,,
butter,candy,,,,,,,,,
frozen vegetables,coffee,,,,,,,,,
napkins,brown bread,,,,,,,,,
waffles,white bread,,,,,,,,,
sausage,whole milk,,,,,,,,,
other vegetables,mayonnaise,beverages,,,,,,,,
pork,margarine,,,,,,,,,
butter,bottled water,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
tropical fruit,cooking chocolate,,,,,,,,,
hard cheese,sugar,,,,,,,,,
domestic eggs,whole milk,rice,,,,,,,,
spread cheese,other vegetables,,,,,,,,,
canned beer,newspapers,,,,,,,,,
shopping bags,condensed milk,,,,,,,,,
rolls/buns,canned vegetables,cat food,,,,,,,,
dessert,jam,,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
sausage,other vegetables,fruit/vegetable juice,,,,,,,,
frankfurter,pork,sliced cheese,candy,pastry,shopping bags,,,,,
canned beer,pork,,,,,,,,,
tropical fruit,coffee,,,,,,,,,
whole milk,sugar,,,,,,,,,
chicken,curd,,,,,,,,,
root vegetables,butter milk,shopping bags,cream cheese ,,,,,,,
dessert,soda,,,,,,,,,
beef,dog food,yogurt,,,,,,,,
ice cream,curd,,,,,,,,,
newspapers,red/blush wine,,,,,,,,,
pork,butter,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
ham,spread cheese,,,,,,,,,
whipped/sour cream,pickled vegetables,dish cleaner,,,,,,,,
frankfurter,margarine,whole milk,soda,margarine,brown bread,margarine,frozen vegetables,,,
UHT-milk,tropical fruit,,,,,,,,,
dessert,herbs,waffles,,,,,,,,
canned beer,root vegetables,pudding powder,processed cheese,,,,,,,
rolls/buns,curd,,,,,,,,,
citrus fruit,butter,chocolate,,,,,,,,
tropical fruit,frozen fish,soda,newspapers,,,,,,,
curd,nuts/prunes,root vegetables,sausage,whole milk,rolls/buns,root vegetables,bottled water,hard cheese,,
meat,fruit/vegetable juice,,,,,,,,,
whole milk,coffee,whole milk,,,,,,,,
chicken,shopping bags,,,,,,,,,
tropical fruit,bottled water,semi-finished bread,,,,,,,,
oil,fruit/vegetable juice,,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
flour,chocolate marshmallow,,,,,,,,,
bottled beer,pastry,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
other vegetables,brandy,,,,,,,,,
brown bread,dish cleaner,,,,,,,,,
frankfurter,frozen meals,dishes,,,,,,,,
sweet spreads,soda,,,,,,,,,
newspapers,hamburger meat,whole milk,specialty cheese,,,,,,,
root vegetables,kitchen towels,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
root vegetables,oil,soda,,,,,,,,
rolls/buns,whole milk,frozen vegetables,newspapers,,,,,,,
frankfurter,butter milk,,,,,,,,,
chicken,bottled water,,,,,,,,,
sweet spreads,white wine,,,,,,,,,
hamburger meat,bottled beer,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
pork,napkins,,,,,,,,,
meat,chocolate,brown bread,,,,,,,,
pip fruit,domestic eggs,,,,,,,,,
yogurt,whole milk,,,,,,,,,
napkins,soda,,,,,,,,,
pip fruit,UHT-milk,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
other vegetables,newspapers,waffles,,,,,,,,
ketchup,rolls/buns,,,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
soda,liver loaf,,,,,,,,,
curd,misc. beverages,,,,,,,,,
rolls/buns,yogurt,newspapers,,,,,,,,
coffee,other vegetables,,,,,,,,,
pip fruit,specialty chocolate,liquor,rolls/buns,,,,,,,
beverages,whole milk,,,,,,,,,
cream cheese ,baking powder,,,,,,,,,
other vegetables,pip fruit,chocolate,,,,,,,,
bottled beer,soda,,,,,,,,,
frankfurter,frozen dessert,other vegetables,cream cheese ,,,,,,,
tropical fruit,meat,other vegetables,domestic eggs,baking powder,,,,,,
canned beer,root vegetables,whole milk,whole milk,newspapers,,,,,,
soda,hard cheese,,,,,,,,,
pastry,bottled beer,,,,,,,,,
salty snack,butter,,,,,,,,,
coffee,other vegetables,margarine,domestic eggs,,,,,,,
tropical fruit,other vegetables,fruit/vegetable juice,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
pork,canned beer,,,,,,,,,
whole milk,sugar,,,,,,,,,
bottled water,frozen vegetables,,,,,,,,,
packaged fruit/vegetables,popcorn,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
oil,soda,,,,,,,,,
sugar,curd,,,,,,,,,
spread cheese,pork,,,,,,,,,
chicken,misc. beverages,,,,,,,,,
butter,butter milk,canned beer,UHT-milk,brown bread,baking powder,long life bakery product,,,,
onions,butter,soups,,,,,,,,
pasta,soda,,,,,,,,,
processed cheese,dishes,,,,,,,,,
pork,rolls/buns,specialty bar,hygiene articles,,,,,,,
frankfurter,sparkling wine,,,,,,,,,
packaged fruit/vegetables,onions,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
whole milk,canned beer,,,,,,,,,
whole milk,bottled water,coffee,,,,,,,,
misc. beverages,salt,candy,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
bottled beer,bottled beer,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
white bread,nuts/prunes,,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
bottled water,pastry,,,,,,,,,
whole milk,sugar,,,,,,,,,
root vegetables,white wine,bottled water,red/blush wine,,,,,,,
other vegetables,pudding powder,,,,,,,,,
bottled water,hamburger meat,pastry,,,,,,,,
sausage,root vegetables,,,,,,,,,
bottled water,brown bread,,,,,,,,,
soda,yogurt,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
white bread,coffee,,,,,,,,,
specialty cheese,brown bread,,,,,,,,,
whole milk,meat,,,,,,,,,
fruit/vegetable juice,meat,whole milk,root vegetables,frozen meals,,,,,,
yogurt,domestic eggs,,,,,,,,,
pot plants,other vegetables,,,,,,,,,
fruit/vegetable juice,root vegetables,pastry,,,,,,,,
finished products,other vegetables,misc. beverages,coffee,rolls/buns,,,,,,
processed cheese,hamburger meat,whole milk,,,,,,,,
frankfurter,pip fruit,meat,coffee,other vegetables,shopping bags,brown bread,curd,,,
canned beer,dessert,,,,,,,,,
whole milk,chocolate,,,,,,,,,
softener,chocolate,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
frozen meals,bottled beer,root vegetables,potato products,,,,,,,
berries,tropical fruit,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
brown bread,citrus fruit,,,,,,,,,
pip fruit,chewing gum,,,,,,,,,
detergent,misc. beverages,,,,,,,,,
frozen meals,bottled water,,,,,,,,,
whole milk,mustard,,,,,,,,,
sausage,other vegetables,,,,,,,,,
pastry,dish cleaner,,,,,,,,,
pip fruit,waffles,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
pork,spread cheese,,,,,,,,,
soda,margarine,,,,,,,,,
root vegetables,white bread,meat spreads,,,,,,,,
whole milk,pastry,,,,,,,,,
sparkling wine,canned beer,,,,,,,,,
chocolate,pickled vegetables,bottled water,,,,,,,,
berries,pasta,soda,canned vegetables,,,,,,,
pork,bottled water,,,,,,,,,
soda,whole milk,,,,,,,,,
sausage,candy,,,,,,,,,
other vegetables,whole milk,soda,oil,pastry,fruit/vegetable juice,newspapers,,,,
whole milk,canned beer,,,,,,,,,
yogurt,root vegetables,waffles,,,,,,,,
butter milk,sausage,UHT-milk,yogurt,canned beer,,,,,,
white wine,coffee,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
condensed milk,shopping bags,long life bakery product,,,,,,,,
whipped/sour cream,seasonal products,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
coffee,butter,,,,,,,,,
bottled beer,herbs,,,,,,,,,
beef,specialty chocolate,,,,,,,,,
root vegetables,yogurt,sparkling wine,,,,,,,,
brandy,dessert,,,,,,,,,
beef,curd,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
soda,specialty bar,tidbits,,,,,,,,
butter,soda,oil,,,,,,,,
hard cheese,canned beer,,,,,,,,,
whipped/sour cream,other vegetables,flour,,,,,,,,
soda,photo/film,,,,,,,,,
pot plants,pip fruit,,,,,,,,,
cling film/bags,whipped/sour cream,coffee,,,,,,,,
spread cheese,butter,hygiene articles,,,,,,,,
